stage,group,home_team,away_team,home_real,away_real,date
group,A,México,África do Sul,,,11/06
group,A,Coreia do Sul,Tchéquia,,,11/06
group,B,Canadá,Bósnia e Herzegovina,,,12/06
group,D,EUA,Paraguai,,,12/06
group,C,Haiti,Escócia,3,0,13/06
group,D,Austrália,Turquia,,,13/06
group,C,Brasil,Marrocos,3,0,13/06
group,B,Catar,Suíça,,,13/06
group,E,Costa do Marfim,Equador,,,14/06
group,E,Alemanha,Curaçao,,,14/06
group,F,Países Baixos,Japão,,,14/06
group,F,Suécia,Tunísia,,,14/06
group,H,Arábia Saudita,Uruguai,,,15/06
group,H,Espanha,Cabo Verde,,,15/06
group,G,Irã,Nova Zelândia,,,15/06
group,G,Bélgica,Egito,,,15/06
group,I,França,Senegal,,,16/06
group,I,Iraque,Noruega,,,16/06
group,J,Argentina,Argélia,,,16/06
group,J,Áustria,Jordânia,,,16/06
group,L,Gana,Panamá,,,17/06
group,L,Inglaterra,Croácia,,,17/06
group,K,Portugal,República Democrática do Congo,,,17/06
group,K,Uzbequistão,Colômbia,,,17/06
group,A,Tchéquia,África do Sul,,,18/06
group,B,Suíça,Bósnia e Herzegovina,,,18/06
group,B,Canadá,Catar,,,18/06
group,A,México,Coreia do Sul,,,18/06
group,C,Brasil,Haiti,3,0,19/06
group,C,Escócia,Marrocos,3,0,19/06
group,D,Turquia,Paraguai,,,19/06
group,D,EUA,Austrália,,,19/06
group,E,Alemanha,Costa do Marfim,,,20/06
group,E,Equador,Curaçao,,,20/06
group,F,Países Baixos,Suécia,,,20/06
group,F,Tunísia,Japão,,,20/06
group,H,Uruguai,Cabo Verde,,,21/06
group,H,Espanha,Arábia Saudita,,,21/06
group,G,Bélgica,Irã,,,21/06
group,G,Nova Zelândia,Egito,,,21/06
group,I,Noruega,Senegal,,,22/06
group,I,França,Iraque,,,22/06
group,J,Argentina,Áustria,,,22/06
group,J,Jordânia,Argélia,,,22/06
group,L,Inglaterra,Gana,,,23/06
group,L,Panamá,Croácia,,,23/06
group,K,Portugal,Uzbequistão,,,23/06
group,K,Colômbia,República Democrática do Congo,,,23/06
group,C,Escócia,Brasil,,,24/06
group,C,Marrocos,Haiti,,,24/06
group,B,Suíça,Canadá,,,24/06
group,B,Bósnia e Herzegovina,Catar,,,24/06
group,A,Tchéquia,México,,,24/06
group,A,África do Sul,Coreia do Sul,,,24/06
group,E,Curaçao,Costa do Marfim,,,25/06
group,E,Equador,Alemanha,,,25/06
group,F,Japão,Suécia,,,25/06
group,F,Tunísia,Países Baixos,,,25/06
group,D,Turquia,EUA,,,25/06
group,D,Paraguai,Austrália,,,25/06
group,I,Noruega,França,,,26/06
group,I,Senegal,Iraque,,,26/06
group,G,Egito,Irã,,,26/06
group,G,Nova Zelândia,Bélgica,,,26/06
group,H,Cabo Verde,Arábia Saudita,,,26/06
group,H,Uruguai,Espanha,,,26/06
group,L,Panamá,Inglaterra,,,27/06
group,L,Croácia,Gana,,,27/06
group,J,Argélia,Áustria,,,27/06
group,J,Jordânia,Argentina,,,27/06
group,K,Colômbia,Portugal,,,27/06
group,K,República Democrática do Congo,Uzbequistão,,,27/06
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_32,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
round_of_16,-,,,,,
quarter_final,-,,,,,
quarter_final,-,,,,,
quarter_final,-,,,,,
quarter_final,-,,,,,
semi_final,-,,,,,
semi_final,-,,,,,
final,-,,,,,
third_place,-,,,,,
